month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.007465,2,62.5,2,143.5,2,7.673,2,2.051,2
1,2,2012,0.005165,2,67,2,194.8,2,2.911,2,0.6114,2
1,3,2012,0.001735,2,66.5,2,187,2,5.148,2,3.649,2
1,4,2012,0.05075,2,25,3,32.85,2,8.296,3,5.445,3
1,7,2012,0.05501,1,75,1,1889,1,0.8264,1,0.201,1
1,8,2012,0.001675,2,67,4,94.27,2,7.981,4,3.4,4
1,12,2012,0.005042,1,54,1,93.82,1,14.53,1,1.834,1
1,14,2012,0.003356,1,68,1,119.4,1,12.78,1,2.336,1
1,15,2012,0.002815,1,68,1,115.8,1,4.828,1,0.1699,2
1,18,2012,0.01921,2,80,3,227.7,2,3.042,3,0.3522,3
1,21,2012,nan,0,54,1,nan,0,2.553,1,2.242,1
1,22,2012,nan,0,56,1,nan,0,6.983,1,3.539,1
1,26,2012,nan,0,72,1,nan,0,9.565,1,3.306,1
1,29,2012,0.01622,1,58,1,74.16,1,2.232,1,2.552,1
1,31,2012,0.000709,1,25,1,113.1,1,3.204,1,0.613,1
2,1,2012,nan,0,nan,0,nan,0,nan,0,2.426,1
2,4,2012,nan,0,19,1,nan,0,15.67,1,3.067,1
2,5,2012,0.001381,1,24,1,39.68,1,5.878,1,3.829,1
2,6,2012,0.01878,2,66,2,292.3,2,7.598,2,2.053,2
2,8,2012,0.0003166,1,77,1,90.66,1,3.589,1,1.843,1
2,10,2012,0.0007048,1,66,1,77.36,1,12.98,1,3.451,1
2,12,2012,nan,0,56,1,nan,0,7.48,1,2.562,1
2,16,2012,0.01486,1,87,1,102.6,1,7.171,1,3.63,1
2,17,2012,0.0007057,1,22,1,167.1,1,3.194,1,0.6685,1
2,18,2012,0.002547,1,80,1,98.18,1,5.343,1,3.084,1
2,19,2012,0.005399,1,66,1,72.92,1,22,1,3.536,1
2,22,2012,0.0004295,1,74,1,85.41,1,13.37,1,2.303,1
2,24,2012,0.002541,1,24,1,84.67,1,19.21,1,3.032,1
2,26,2012,0.03105,1,129,1,171.9,1,2.473,1,0.5177,1
